gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset_id,gene_symbol,effect_scope,contrast,significant_fdr_0_10,direction,absolute_log2_fold_change,open_targets_queried,is_known_drug_target,has_approved_drug,n_drugs_or_candidates,best_clinical_stage,drug_names
ENSG00000144406,7.330847096954971,-0.1199205994256587,0.9824398453674529,-0.12206406325143085,0.9028482823765079,0.9999244088149658,Mareckova_E-MTAB-14039,UNC80,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.1199205994256587,False,,,,,
ENSG00000105726,46.3879967819514,0.05405740515868616,0.44314416373563525,0.12198604784273989,0.9029100679528386,0.9999244088149658,Mareckova_E-MTAB-14039,ATP13A1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.05405740515868616,False,,,,,
ENSG00000012211,11.218076993678512,-0.0798662595712265,0.6548162765279344,-0.12196743183401829,0.9029248112917169,0.9999244088149658,Mareckova_E-MTAB-14039,PRICKLE3,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.0798662595712265,False,,,,,
ENSG00000112685,28.323535116144228,0.055658464830340496,0.456722284616287,0.12186500791635706,0.9030059286619294,0.9999244088149658,Mareckova_E-MTAB-14039,EXOC2,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.055658464830340496,False,,,,,
ENSG00000236287,128.24643541068102,0.06049095931696923,0.4966149259890788,0.12180656712339634,0.9030522128699409,0.9999244088149658,Mareckova_E-MTAB-14039,ZBED5,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.06049095931696923,False,,,,,
ENSG00000104901,5.093679506279868,0.09943121553461755,0.8166680293319086,0.12175230566569284,0.903095187403769,0.9999244088149658,Mareckova_E-MTAB-14039,DKKL1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.09943121553461755,False,,,,,
ENSG00000153827,263.3700026542715,0.050261203891389036,0.41329405516318324,0.12161124328668148,0.9032069087304769,0.9999244088149658,Mareckova_E-MTAB-14039,TRIP12,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.050261203891389036,False,,,,,
ENSG00000134590,270.0669787227199,0.0426538416037269,0.3509612729607972,0.12153432555076066,0.9032678283426743,0.9999244088149658,Mareckova_E-MTAB-14039,RTL8C,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.0426538416037269,False,,,,,
ENSG00000180611,3.55857477269664,-0.11936753781179554,0.9823057241944949,-0.12151770561011306,0.9032809915758713,0.9999244088149658,Mareckova_E-MTAB-14039,MB21D2,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.11936753781179554,False,,,,,
ENSG00000143178,5.291057067146565,0.11966615153965031,0.9852967986008697,0.1214518830362357,0.9033331242668035,0.9999244088149658,Mareckova_E-MTAB-14039,TBX19,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.11966615153965031,False,,,,,
ENSG00000110237,120.57457331984611,0.05308075615520361,0.43759794171549204,0.1213002875358918,0.9034531922802603,0.9999244088149658,Mareckova_E-MTAB-14039,ARHGEF17,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.05308075615520361,False,,,,,
ENSG00000280213,5.1690990529092655,0.11778527327084888,0.9710257046032067,0.12129985098487156,0.9034535380444629,0.9999244088149658,Mareckova_E-MTAB-14039,UCKL1-AS1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.11778527327084888,False,,,,,
ENSG00000064102,43.486401790642276,-0.04855525142903413,0.40043223936023914,-0.12125709834605145,0.9034873997698984,0.9999244088149658,Mareckova_E-MTAB-14039,INTS13,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.04855525142903413,False,,,,,
ENSG00000138802,48.98764710590419,-0.054084649174964194,0.4463319667848458,-0.1211758359244649,0.9035517632003519,0.9999244088149658,Mareckova_E-MTAB-14039,SEC24B,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.054084649174964194,False,,,,,
ENSG00000123353,43.75166031595385,0.06508240042861281,0.5374635778854281,0.12109174110861613,0.903618370679588,0.9999244088149658,Mareckova_E-MTAB-14039,ORMDL2,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.06508240042861281,False,,,,,
ENSG00000260455,7.515314203062712,0.08719327730251641,0.720904791576497,0.12094978188706368,0.9037308113241326,0.9999244088149658,Mareckova_E-MTAB-14039,NBAT1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.08719327730251641,False,,,,,
ENSG00000172086,107.86729100219688,-0.040648624580913416,0.336437369870336,-0.12082077742011692,0.9038329926615352,0.9999244088149658,Mareckova_E-MTAB-14039,KRCC1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.040648624580913416,False,,,,,
ENSG00000175984,22.066155782752784,0.061381080921469204,0.5081549418042606,0.12079205744517382,0.9038557412801608,0.9999244088149658,Mareckova_E-MTAB-14039,DENND2C,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.061381080921469204,False,,,,,
