dataset_id,cell_type,pathway,set_size,ES,NES,nominal_p_value,leading_edge_genes,FDR,global_dataset_FDR,significant_fdr_0_25,significant_global_dataset_fdr_0_25,msigdb_version,gmt_url
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_PANCREAS_BETA_CELLS,15,-0.5442137156761453,-1.5797332359560052,0.034261241970021415,SRP9;SPCS1;SRPRB;NKX6-1;PAK3;SEC11A;MAFB;CHGA,0.08157438564290813,0.09075825687422891,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_ESTROGEN_RESPONSE_EARLY,157,0.29113881895017635,1.2923412828463485,0.0703125,KRT18;CCND1;ABAT;ELF3;MYBL1;PODXL;HSPB8;KRT8;CLDN7;SCNN1A;ZNF185;GJA1;FLNB;MREG;MUC1;B4GALT1;SLC7A5;WWC1;KAZN;MYBBP1A;DEPTOR;CALB2;SLC22A5;IGFBP4;MED24;TGM2;SLC24A3;CANT1;IGF1R;RRP12;GAB2;TPD52L1;WFS1;CELSR1;TFAP2C;IL6ST;TIAM1;ALDH3B1;RAPGEFL1;AKAP1;AMFR;RPS6KA2;PMAIP1,0.146484375,0.15980113636363635,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_IL2_STAT5_SIGNALING,150,0.2878567140647319,1.2752302213681674,0.0696594427244582,SPP1;IRF8;TNFSF10;IL18R1;PLSCR1;ENPP1;LIF;AHR;PRNP;SLC39A8;MAPKAPK2;LCLAT1;CCND2;TNFRSF21;GUCY1B1;P4HA1;MUC1;SYNGR2;GBP4;CDCP1;MYO1E;SLC1A5;SWAP70;IL1RL1;CDC6;TGM2;HK2;IGF1R;CA2;SPRED2;TNFRSF1B;ANXA4;TIAM1;MXD1;ITGAV;PENK;NFIL3;SPRY4;PRAF2;NRP1;COCH;SH3BGRL2,0.146484375,0.15922158337019018,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_BILE_ACID_METABOLISM,78,-0.3029450255963854,-1.3039656304878282,0.06510416666666667,CAT;GCLM;GNPAT;SLC35B2;FDXR;PEX11A;SOD1;CYP46A1;IDH2;PEX7;CYP27A1;PRDX5;SCP2;HSD17B11;MLYCD;HACL1;IDI1;ISOC1;SOAT2;PEX16;PEX11G;PEX13;PAOX;DIO2;PHYH;PNPLA8;ACSL1;HSD17B6;EFHC1;PXMP2;SLC27A5;ALDH9A1,0.146484375,0.15052986512524086,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_APICAL_SURFACE,27,0.4534223972908631,1.4226224789021178,0.07536764705882353,FLOT2;ATP8B1;CX3CL1;EFNA5;B4GALT1;LYN;HSPB1;APP;ADIPOR2;SHROOM2;AKAP7;SRPX,0.15073529411764705,0.16384271099744244,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_CHOLESTEROL_HOMEOSTASIS,67,0.3283466301343483,1.2835934401096962,0.10099337748344371,CLU;SCD;STARD4;FADS2;PLSCR1;SREBF2;LGMN;PDK3;TMEM97;LDLR;CD9;ANTXR2;CHKA;SC5D;TP53INP1;CYP51A1,0.18702477311748833,0.19706024874818287,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_MTORC1_SIGNALING,185,0.26273495474780306,1.2099046437229346,0.09985096870342772,STC1;TES;SCD;STARD4;DHCR24;FADS2;SLC37A4;DHFR;AK4;LTA4H;LGMN;IDH1;MTHFD2;AURKA;P4HA1;GPI;TMEM97;INSIG1;RRM2;LDLR;SLC7A5;FADS1;CD9;HSP90B1;PSME3;SLC1A5;ADIPOR2;SC5D;HK2;CYP51A1;MCM4;MAP2K3;CXCR4;GSR,0.18702477311748833,0.19675067724813344,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_DNA_REPAIR,143,-0.2492982206689175,-1.2022959864511253,0.11351351351351352,GTF2B;TAF9;MRPL40;ADRM1;FEN1;POLR2E;EDF1;POLR3C;RALA;ERCC1;POLR1D;NELFCD;MPG;NT5C;CLP1;GTF2H5;GTF2A2;DAD1;TSG101;TMED2;RFC2;AK1;POLR2K;BRF2;SDCBP;DGCR8;VPS37D;ERCC4;NME3;SAC3D1;MPC2;POLR3GL;POLR2C;SUPT4H1;GMPR2;TAF12;HPRT1;ADA,0.19571295433364402,0.21519149481234792,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_XENOBIOTIC_METABOLISM,133,-0.25745366722939134,-1.2137706731267346,0.11197916666666667,UGDH;PTS;ACOX1;TMBIM6;CYP27A1;FBLN1;POR;CASP6;PTGR1;EPHX1;PYCR1;HACL1;IGF1;PINK1;FAH;SSR3;SERTAD1;PMM1;F10;PTGDS;NFS1;LCAT;SAR1B;LEAP2;SLC12A4;SMOX;DHPS;DDAH2;CSAD;HPRT1;ALDH9A1;TMEM176B;SLC35B1;TGFB2;CES1,0.19571295433364402,0.21329365079365079,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_MYOGENESIS,127,0.2781843652695932,1.215706460459452,0.12575757575757576,CLU;SCD;MYLK;APOD;HSPB8;EPHB3;MEF2C;MYH9;HRC;SPDEF;AGRN;LAMA2;PRNP;CKMT2;FOXO4;HDAC5;NQO1;SYNGR2;IGFBP3;COL6A3;ITGB5;APP;ITGB1;TAGLN;COX7A1;TPD52L1;SORBS1;SPHK1;COL15A1;SH2B1;SLC6A8;CDKN1A;KLF5;COL4A2;FDPS;IGFBP7;NAV2;KIFC3;TPM3;SVIL;PLXNB2,0.20283479960899317,0.22659022659022657,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
